,Hours Funded,Pounds Removed,Miles Cleaned
8/2/2022,10.3,256.3,5.1
9/2/2022,10.3,256.3,5.1
10/1/2022,100.3,2506.3,50.1
11/6/2022,10.3,256.3,5.1
12/5/2022,10.3,256.3,5.1
1/2/2023,10.3,256.3,5.1
1/6/2023,34.5,862.2,17.2
2/4/2023,10.3,256.3,5.1
3/5/2023,10.3,256.3,5.1
4/1/2023,10.3,256.3,5.1
5/2/2023,10.3,256.3,5.1
6/3/2023,10.3,256.3,5.1
7/3/2023,10.3,256.3,5.1
8/5/2023,40.0,999.6,20.0
9/5/2023,39.1,978.1,19.6
10/6/2023,38.9,972.5,19.4
11/5/2023,37.9,946.8,18.9
12/5/2023,37.6,941.2,18.8
2/6/2024,37.9,948.2,19.0
3/7/2024,43.1,1077.8,21.6
4/9/2024,37.8,944.1,18.9
5/5/2024,37.7,942.7,18.9
6/7/2024,37.4,935.6,18.7
7/7/2024,35.7,892.4,17.8
8/5/2024,35.4,885.3,17.7
9/7/2024,34.3,856.7,17.1
10/7/2024,34.3,856.7,17.1
11/6/2024,34.3,856.7,17.1
12/6/2024,34.3,856.7,17.1
1/6/2025,32.5,813.7,16.3
2/10/2025,32.3,806.7,16.1
3/5/2025,31.1,778.2,15.6
4/5/2025,31.7,792.6,15.9
5/7/2025,30.7,768.2,15.4
6/9/2025,30.5,762.5,15.3
7/14/2025,30.5,762.5,15.3
8/6/2025,30.5,762.5,15.3
9/6/2025,30.5,762.5,15.3
10/6/2025,28.4,709.6,14.2
11/5/2025,28.5,712.3,14.2
12/9/2025,27.5,688.1,13.8
1/5/2026,27.6,689.4,13.8
2/5/2026,27.5,688.0,13.8
3/6/2026,27.7,693.7,13.9
4/5/2026,30.4,759.7,15.2
5/7/2026,30.5,761.3,15.2
6/9/2026,28.2,706.0,14.1
7/7/2026,23.0,574.7,11.5
